Index	Node Name	Node ID	Target Class	In Degree Rank	Out Degree Rank	Total Degree Rank	Betweenness Rank	Bridging Coeff Rank	TDE Rank	Bridging Centrality Rank	Closeness Centrality Rank	Undirected Clustering Coeff Rank	In Clustering Coeff Rank	Out Clustering Coeff Rank	Cycle Clustering Coeff Rank	Middleman Clustering Coeff Rank	Eigenvector Centrality Rank	Proximity Prestige Rank	Eccentricity Centrality Rank
10		EGFR_PM	1	0.857142857	1	0.9	1	0.625	0.058823529	0.870967742	0.931034483	0.090909091	1	1	1	1	1	0.964285714	0.666666667
17		Ract	0	0.857142857	0.857142857	0.8	0.964285714	0.8125	0.647058824	0.935483871	0.24137931	0.090909091	0.2	0.2	0.2	0.2	0.461538462	0.214285714	0.666666667
44		RasGRP_cyt	0	0.714285714	0.857142857	0.7	0.571428571	0.625	0.705882353	0.677419355	0.379310345	0.454545455	1	1	1	1	0.538461538	0.357142857	1
5		PI_PM	0	0.857142857	1	0.9	1	0.4375	0.588235294	0.806451613	0.965517241	0.090909091	1	1	1	1	0.948717949	0.75	1
9		Shc_star_PM	0	0.571428571	0.714285714	0.5	0.535714286	0.6875	0.352941176	0.741935484	0.724137931	0.454545455	1	1	1	1	0.333333333	0.785714286	0.333333333
26		DAG_PM	0	0.857142857	1	0.9	1	0.9375	0.588235294	1	0.344827586	0.090909091	1	1	1	1	0.974358974	0.321428571	0.333333333
6		Shc_PM	0	0.714285714	0.857142857	0.7	0.928571429	0.75	0.294117647	0.903225806	0.827586207	0.090909091	1	1	1	1	0.666666667	0.857142857	0.666666667
4		PIP_PM	0	0.714285714	0.857142857	0.7	0.714285714	0.4375	0.705882353	0.64516129	0.862068966	0.363636364	1	1	1	1	0.692307692	0.714285714	0.666666667
40		SosGrb2_cyt	0	0.714285714	0.857142857	0.7	0.785714286	0.625	0.294117647	0.838709677	0.896551724	0.454545455	1	1	1	1	0.487179487	0.821428571	0.666666667
7		CaCAPRI_PM_PM	0	0.857142857	0.857142857	0.8	0.678571429	0.1875	0.647058824	0.35483871	0.482758621	0.363636364	1	1	1	1	0.256410256	0.464285714	0.666666667
42		RasGTP_PM	1	0.428571429	0.428571429	0.3	0.178571429	0.625	0.882352941	0.290322581	0.551724138	0.636363636	1	1	1	1	0.102564103	0.535714286	1
32		PIP2_GM_GM	0	0.857142857	1	0.9	1	0.9375	0.588235294	1	0.379310345	0.090909091	1	1	1	1	0.923076923	0.357142857	0.666666667
36		Grb2_cyt	0	0.857142857	1	0.9	1	0.625	0.176470588	0.870967742	1	0.090909091	1	1	1	1	0.871794872	0.892857143	1
30		Ca_PLCe_cyt	0	0.714285714	0.857142857	0.7	0.142857143	0.625	0.705882353	0.225806452	0.206896552	0.454545455	1	1	1	1	0.435897436	0.178571429	0.666666667
21		RasGDP_Golgi_GM	0	0.428571429	0.428571429	0.3	0.357142857	0.625	0.882352941	0.516129032	0.689655172	0.636363636	1	1	1	1	0.128205128	0.642857143	0.666666667
18		Rinh	0	0.857142857	0.857142857	0.8	0.964285714	0.8125	0.647058824	0.935483871	0.24137931	0.090909091	0.2	0.2	0.2	0.2	0.461538462	0.214285714	0.666666667
2		CAPRI_cyt	0	0.857142857	1	0.9	1	0.625	0.588235294	0.870967742	0.448275862	0.090909091	1	1	1	1	0.743589744	0.428571429	0.666666667
1		EGF_EC	0	0.857142857	1	0.9	1	0.625	0.058823529	0.870967742	0.931034483	0.090909091	1	1	1	1	1	0.964285714	0.666666667
41		SGS_PM	0	0.857142857	0.857142857	0.8	0.25	0.3125	0.235294118	0.193548387	0.75862069	0.454545455	1	1	1	1	0.41025641	0.857142857	0.666666667
16		Ca	1	0.142857143	0.142857143	0.1	0.035714286	0.875	1	0.032258065	0.068965517	1	0.8	0.8	0.8	0.8	0.025641026	0.071428571	0.666666667
8		RactCa	0	0.857142857	0.857142857	0.8	0.964285714	0.8125	0.647058824	0.935483871	0.24137931	0.090909091	0.4	0.4	0.4	0.4	0.461538462	0.214285714	0.666666667
11		PLC_act_PM	0	0.714285714	0.714285714	0.6	0.464285714	0.4375	0.470588235	0.483870968	0.103448276	0.454545455	1	1	1	1	0.641025641	0.928571429	0.333333333
23		DAG_GM_GM	0	0.571428571	0.714285714	0.5	0.285714286	0.375	0.764705882	0.258064516	0.206896552	0.454545455	1	1	1	1	0.615384615	0.178571429	0.666666667
0		RasGTP_Golgi_GM	0	0.285714286	0.285714286	0.2	0.071428571	0.625	0.941176471	0.096774194	0.172413793	0.909090909	1	1	1	1	0.051282051	0.142857143	0.333333333
14		PIP2_PM	0	0.714285714	0.857142857	0.7	0.392857143	0.75	0.705882353	0.612903226	0.310344828	0.272727273	1	1	1	1	0.717948718	0.285714286	0.333333333
39		ca_buffer_cyt	0	0.857142857	1	0.9	1	0.625	0.588235294	0.870967742	0.620689655	0.090909091	1	1	1	1	0.769230769	0.571428571	1
33		ER_erMembrane	0	1	0.714285714	0.8	1	0.25	0.529411765	0.580645161	0.206896552	0.181818182	1	1	1	1	0.230769231	1	0.666666667
3		serca	0	1	1	1	1	0.125	0.529411765	0.322580645	0.586206897	0.090909091	1	1	1	1	0.820512821	1	1
43		RasGDP_PM	1	0.428571429	0.428571429	0.3	0.5	0.625	0.882352941	0.64516129	0.620689655	0.636363636	1	1	1	1	0.076923077	0.571428571	1
29		RasGDP_pal_cyt	0	0.571428571	0.714285714	0.5	0.821428571	0.4375	0.764705882	0.709677419	0.793103448	0.545454545	1	1	1	1	0.153846154	0.678571429	1
19		RinhCa	0	0.857142857	0.857142857	0.8	0.964285714	0.8125	0.647058824	0.935483871	0.24137931	0.090909091	0.4	0.4	0.4	0.4	0.461538462	0.214285714	0.666666667
12		RasGTP_pal_cyt	0	0.571428571	0.714285714	0.5	0.321428571	0.4375	0.764705882	0.387096774	0.517241379	0.545454545	1	1	1	1	0.179487179	0.5	0.666666667
37		PLCe_cyt	0	0.857142857	1	0.9	1	0.625	0.588235294	0.870967742	0.482758621	0.090909091	1	1	1	1	0.794871795	0.464285714	1
