Index	Node_ID	Node_Name	Target_Class	In_Degree_Rank	Out_Degree_Rank	Total_Degree_Rank	Betweenness_Rank	Bridging_Coeff_Rank	TDE_Rank	Bridging_Centrality_Rank	Closeness_Rank	Undirected_Clustering_Coefficient_Rank	In_Clustering_Coefficient_Rank	Out_Clustering_Coefficient_Rank	Cycle_Clustering_Coefficient_Rank	Middleman_Clustering_Coefficient_Rank	Eigenvector_Rank	Proximity_Prestige_Rank	Eccentricity_Rank
4	serca		 	1.0	1.0	1.0	1.0	0.16666666666666666	0.5	0.7647058823529411	0.6	0.16666666666666666	1.0	1.0	1.0	1.0	0.85	1.0	1.0
36	Sos_cyt		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.8333333333333334	0.14705882352941177	1.0	0.16666666666666666	1.0	1.0	1.0	1.0	0.925	0.90625	1.0
3	CAPRI_cyt		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.4444444444444444	0.14705882352941177	0.4666666666666667	0.16666666666666666	1.0	1.0	1.0	1.0	0.775	0.5	0.75
27	DAG_PM		 	0.8888888888888888	1.0	0.6	1.0	0.9444444444444444	0.4444444444444444	0.6764705882352942	0.36666666666666664	0.16666666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	1.0	0.375	0.5
41	SosGrb2_cyt		 	0.7777777777777778	0.8571428571428571	0.4	0.7741935483870968	0.6666666666666666	0.7222222222222222	0.23529411764705882	0.9	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.525	0.84375	0.75
14	PLC_PM		 	0.7777777777777778	0.8571428571428571	0.4	0.6451612903225806	0.7777777777777778	0.6111111111111112	0.20588235294117646	0.7	0.16666666666666666	1.0	1.0	1.0	1.0	0.875	0.9375	0.5
42	SGS_PM		 	0.8888888888888888	0.8571428571428571	0.5	0.16129032258064516	0.3333333333333333	0.7777777777777778	0.35294117647058826	0.7666666666666667	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.45	0.875	0.75
19	Rinh		 	0.8888888888888888	0.8571428571428571	0.5	0.967741935483871	0.8333333333333334	0.3888888888888889	0.08823529411764706	0.26666666666666666	0.16666666666666666	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.5	0.28125	0.75
6	PI_PM		 	0.8888888888888888	1.0	0.6	1.0	0.4444444444444444	0.4444444444444444	0.9411764705882353	0.9666666666666667	0.16666666666666666	1.0	1.0	1.0	1.0	0.975	0.78125	1.0
33	PIP2_GM_GM		 	0.8888888888888888	1.0	0.6	1.0	0.9444444444444444	0.4444444444444444	0.6764705882352942	0.4	0.16666666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.95	0.34375	0.75
30	RasGDP_pal_cyt		 	0.6666666666666666	0.7142857142857143	0.2	0.8064516129032258	0.4444444444444444	0.2777777777777778	0.11764705882352941	0.8	0.5833333333333334	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.2	0.71875	1.0
37	Grb2_cyt		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.8333333333333334	0.14705882352941177	1.0	0.16666666666666666	1.0	1.0	1.0	1.0	0.9	0.90625	1.0
43	RasGTP_PM		 	0.4444444444444444	0.42857142857142855	0.9	0.06451612903225806	0.6111111111111112	0.16666666666666666	0.5294117647058824	0.5666666666666667	0.6666666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.15	0.53125	1.0
2	EGF_EC		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.9444444444444444	0.14705882352941177	0.9333333333333333	0.16666666666666666	1.0	1.0	1.0	1.0	0.05	0.96875	0.75
5	PIP_PM		 	0.7777777777777778	0.8571428571428571	0.4	0.6129032258064516	0.4444444444444444	0.3333333333333333	0.8235294117647058	0.8666666666666667	0.4166666666666667	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.725	0.75	0.75
40	ca_buffer_cyt		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.4444444444444444	0.14705882352941177	0.6333333333333333	0.16666666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.8	0.6875	1.0
11	EGFR_PM		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.9444444444444444	0.14705882352941177	0.9333333333333333	0.16666666666666666	1.0	1.0	1.0	1.0	0.05	0.96875	0.75
15	PIP2_PM		 	0.7777777777777778	0.8571428571428571	0.4	0.3225806451612903	0.7777777777777778	0.3333333333333333	0.9117647058823529	0.3333333333333333	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.75	0.3125	0.5
21	IP3		 	0.6666666666666666	0.5714285714285714	0.1	0.9032258064516129	0.5	0.2222222222222222	0.29411764705882354	0.06666666666666667	0.75	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.325	0.0625	0.5
